0,読み,名前,市,説明,効果
13,しらいわ,白岩温泉,伊豆市,（白岩、八幡、冷川、柳瀬、梅木、姫之湯、原保温泉）人の暮らしと自然が調和する里山の温泉地。豊富な温泉を使ったリハビリ施設もあり、環境もよく心も身体も癒され療養できる。,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高血圧・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
14,つきがせ,月ヶ瀬温泉,伊豆市,（湯ヶ島、持越、嵯峨沢、吉奈、船原、月ヶ瀬、矢熊、青羽柿木温泉）伊豆半島のちょうど真ん中に位置するそれぞれ異なった泉質を持つ天城七湯。水のきれいな狩野川渓流沿いの温泉地ではわさびの栽培のほか「ほたる祭り」や、鮎、ヤマメの渓流釣りの名所となっている。また、良質な温泉とセラピーを組み合わせた「天城流温泉道」により新しい湯治の提案やウエルネスへの取組みを積極的に行っている。,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高血圧・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
15,とい,土肥温泉,伊豆市,（土肥、小土肥、八木沢温泉）土肥金山、恋人岬などを観光しながら西伊豆までバスを乗り継いで巡る観光客が多い。共同浴場も4ヵ所あり、ひなびた温泉地の風情を楽しみながら温泉に入るのもいい。【温泉観光スポット　「安楽寺　まぶ湯」鉱山の中から湧き出したといわれる土肥温泉発祥の湯】,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
16,はつま,八幡温泉,伊豆市,（白岩、八幡、冷川、柳瀬、梅木、姫之湯、原保温泉）人の暮らしと自然が調和する里山の温泉地。豊富な温泉を使ったリハビリ施設もあり、環境もよく心も身体も癒され療養できる。,アトピー性皮膚炎・肝臓病・眼病・痔病・糖尿病/肥満・動脈硬化・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
17,ひえかわ,冷川温泉,伊豆市,（白岩、八幡、冷川、柳瀬、梅木、姫之湯、原保温泉）人の暮らしと自然が調和する里山の温泉地。豊富な温泉を使ったリハビリ施設もあり、環境もよく心も身体も癒され療養できる。,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高圧血・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
18,ひめのゆ,姫之湯温泉,伊豆市,（白岩、八幡、冷川、柳瀬、梅木、姫之湯、原保温泉）人の暮らしと自然が調和する里山の温泉地。豊富な温泉を使ったリハビリ施設もあり、環境もよく心も身体も癒され療養できる。,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高圧血・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
19,ふなばら,船原温泉,伊豆市,（湯ヶ島、持越、嵯峨沢、吉奈、船原、月ヶ瀬、矢熊、青羽柿木温泉）伊豆半島のちょうど真ん中に位置するそれぞれ異なった泉質を持つ天城七湯。水のきれいな狩野川渓流沿いの温泉地ではわさびの栽培のほか「ほたる祭り」や、鮎、ヤマメの渓流釣りの名所となっている。また、良質な温泉とセラピーを組み合わせた「天城流温泉道」により新しい湯治の提案やウエルネスへの取組みを積極的に行っている。,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高圧血・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
20,もちこし,持越温泉,伊豆市,（湯ヶ島、持越、嵯峨沢、吉奈、船原、月ヶ瀬、矢熊、青羽柿木温泉）伊豆半島のちょうど真ん中に位置するそれぞれ異なった泉質を持つ天城七湯。水のきれいな狩野川渓流沿いの温泉地ではわさびの栽培のほか「ほたる祭り」や、鮎、ヤマメの渓流釣りの名所となっている。また、良質な温泉とセラピーを組み合わせた「天城流温泉道」により新しい湯治の提案やウエルネスへの取組みを積極的に行っている。,アトピー性皮膚炎・肝臓病・眼病・痔病・糖尿病/肥満・動脈硬化・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
21,やぎさわ,八木沢温泉,伊豆市,（土肥、小土肥、八木沢温泉）土肥金山、恋人岬などを観光しながら西伊豆までバスを乗り継いで巡る観光客が多い。共同浴場も4ヵ所あり、ひなびた温泉地の風情を楽しみながら温泉に入るのもいい。【温泉観光スポット　「安楽寺　まぶ湯」鉱山の中から湧き出したといわれる土肥温泉発祥の湯】,アトピー性皮膚炎・肝臓病・眼病・痔病・糖尿病/肥満・動脈硬化・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
22,やぐま/あおばね,矢熊/青羽根温泉,伊豆市,（湯ヶ島、持越、嵯峨沢、吉奈、船原、月ヶ瀬、矢熊、青羽柿木温泉）伊豆半島のちょうど真ん中に位置するそれぞれ異なった泉質を持つ天城七湯。水のきれいな狩野川渓流沿いの温泉地ではわさびの栽培のほか「ほたる祭り」や、鮎、ヤマメの渓流釣りの名所となっている。また、良質な温泉とセラピーを組み合わせた「天城流温泉道」により新しい湯治の提案やウエルネスへの取組みを積極的に行っている。,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高圧血・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
23,やなせ,柳瀬温泉,伊豆市,（白岩、八幡、冷川、柳瀬、梅木、姫之湯、原保温泉）人の暮らしと自然が調和する里山の温泉地。豊富な温泉を使ったリハビリ施設もあり、環境もよく心も身体も癒され療養できる。,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高圧血・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
24,ゆがしま,湯ヶ島温泉,伊豆市,（湯ヶ島、持越、嵯峨沢、吉奈、船原、月ヶ瀬、矢熊、青羽柿木温泉）伊豆半島のちょうど真ん中に位置するそれぞれ異なった泉質を持つ天城七湯。水のきれいな狩野川渓流沿いの温泉地ではわさびの栽培のほか「ほたる祭り」や、鮎、ヤマメの渓流釣りの名所となっている。また、良質な温泉とセラピーを組み合わせた「天城流温泉道」により新しい湯治の提案やウエルネスへの取組みを積極的に行っている。,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高圧血・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
25,よしな,吉奈温泉,伊豆市,（湯ヶ島、持越、嵯峨沢、吉奈、船原、月ヶ瀬、矢熊、青羽柿木温泉）伊豆半島のちょうど真ん中に位置するそれぞれ異なった泉質を持つ天城七湯。水のきれいな狩野川渓流沿いの温泉地ではわさびの栽培のほか「ほたる祭り」や、鮎、ヤマメの渓流釣りの名所となっている。また、良質な温泉とセラピーを組み合わせた「天城流温泉道」により新しい湯治の提案やウエルネスへの取組みを積極的に行っている。,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高圧血・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
26,わらぼ,原保温泉,伊豆市,（白岩、八幡、冷川、柳瀬、梅木、姫之湯、原保温泉）人の暮らしと自然が調和する里山の温泉地。豊富な温泉を使ったリハビリ施設もあり、環境もよく心も身体も癒され療養できる。,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高圧血・痔病・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
27,いとう,伊東温泉,伊東市,,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
28,うさみ,宇佐美温泉,伊東市,,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
29,こむろ,小室温泉,伊東市,,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
30,つしま,対島温泉,伊東市,,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
31,いわた,磐田温泉,磐田市,,不眠/ノイローゼ・眼病・便秘/美肌作用・アトピー性皮膚炎・胃腸病・肝臓病・高血圧症・痔病・不妊症・婦人病・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
32,いじり,居尻温泉,掛川市,,不眠/ノイローゼ・胃腸病・呼吸器疾患・痔病・糖尿病/肥満・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
33,くらみ,倉真温泉,掛川市,,不眠/ノイローゼ・便秘/美肌作用・アトピー性皮膚炎・呼吸器疾患・痔病・動脈硬化・不妊症/婦人病・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
34,くらみあかいし,倉真赤石温泉,掛川市,,不眠/ノイローゼ・便秘/美肌作用・アトピー性皮膚炎・呼吸器疾患・痔病・動脈硬化・不妊症/婦人病・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
35,だいとう,大東温泉,掛川市,,不眠/ノイローゼ・胃腸病・呼吸器疾患・痔病・糖尿病/肥満・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
36,たまり,満水温泉,掛川市,,不眠/ノイローゼ・胃腸病・呼吸器疾患・痔病・糖尿病/肥満・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
37,ほうせんじ,法泉寺温泉,掛川市,大河ドラマ「功名が辻」ゆかりの掛川城、小笠山総合運動（エコパ）、掛川茶の販売、日本最大のキウイ観光農園などがある掛川市のほぼ中央に位置し、JR掛川駅からはバスで16分。丘陵に湧く「美人の湯」と言われる温泉はアルカリ性単純温泉。その他に、居尻温泉、倉真温泉、つま恋温泉、大東温泉などレジャー施設型の温泉や日帰り入浴施設もある。,不眠/ノイローゼ・便秘/美肌作用・アトピー性皮膚炎・呼吸器疾患・痔病・動脈硬化・不妊症/婦人病・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
38,あらいはま,新居浜温泉,浜松市,弁天島の朱色の鳥居や浜名湖の景観を楽しめる温泉地で、中では舘山寺温泉が比較的新しくできた温泉で現在も開発が進み、周辺の遊園地やレジャー施設も充実している。,不眠/ノイローゼ・胃腸病・呼吸器疾患・痔病・糖尿病/肥満・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
39,いなさ,引佐温泉,浜松市,,不眠/ノイローゼ・便秘/美肌作用・アトピー性皮膚炎・呼吸器疾患・痔病・動脈硬化・不妊症/婦人病・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
40,いわだけ,岩岳温泉,浜松市,,不眠/ノイローゼ・胃腸病・呼吸器疾患・痔病・糖尿病/肥満・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
41,えんしゅうはま,遠州浜温泉,浜松市,,呼吸器疾患・痔病・糖尿病/肥満・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛・不眠/ノイローゼ・胃腸病
42,かんざし,舘山寺温泉,浜松市,弁天島の朱色の鳥居や浜名湖の景観を楽しめる温泉地で、中では舘山寺温泉が比較的新しくできた温泉で現在も開発が進み、周辺の遊園地やレジャー施設も充実している。,不眠/ノイローゼ・胃腸病・呼吸器疾患・痔病・糖尿病/肥満・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
43,さんのうきょう,王山峡温泉,浜松市,,不眠/ノイローゼ・便秘/美肌作用・胃腸病・肝臓病・糖尿病/肥満・火傷/外傷
44,にしふじだいら,西藤平温泉,浜松市,,不眠/ノイローゼ・眼病・便秘/美肌作用・アトピー性皮膚炎・胃腸病・肝臓病・高血圧症・痔病・不妊症・婦人病・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
45,べんてんじま,弁天島温泉,浜松市,弁天島の朱色の鳥居や浜名湖の景観を楽しめる温泉地で、中では舘山寺温泉が比較的新しくできた温泉で現在も開発が進み、周辺の遊園地やレジャー施設も充実している。,不眠/ノイローゼ・胃腸病・呼吸器疾患・痔病・糖尿病/肥満・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
46,むらくし,村櫛温泉,浜松市,,不眠/ノイローゼ・胃腸病・呼吸器疾患・痔病・糖尿病/肥満・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
47,ゆうとう,雄踏温泉,浜松市,,不眠/ノイローゼ・胃腸病・呼吸器疾患・痔病・糖尿病/肥満・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
48,わかばやし,若林温泉,浜松市,,不眠/ノイローゼ・眼病・便秘/美肌作用・アトピー性皮膚炎・胃腸病・肝臓病・高血圧症・痔病・不妊症・婦人病・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
49,みっかび,三ケ日温泉,浜松市北区,弁天島の朱色の鳥居や浜名湖の景観を楽しめる温泉地で、中では舘山寺温泉が比較的新しくできた温泉で現在も開発が進み、周辺の遊園地やレジャー施設も充実している。,不眠/ノイローゼ・眼病・便秘/美肌作用・アトピー性皮膚炎・胃腸病・肝臓病・高血圧症・痔病・不妊症・婦人病・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
50,あさば,浅羽温泉,袋井市,,不眠/ノイローゼ・胃腸病・呼吸器疾患・痔病・糖尿病/肥満・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
51,おまえざき,御前崎温泉,御前崎市,,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
52,しらさわ,白沢温泉,川根本町,,胃腸病・肝臓病・糖尿病/肥満・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷
53,すまたきょう,寸又峡温泉,川根本町,寸又峡を取り巻く大自然は、「大井川源流部原生自然環境保全地区」「南アルプス南部光岳林生態系保護地域」に指定され大切に保護されている。南アルプスの麓から沸く良質な寸又峡温泉は、つるつるすべすべの「美女づくりの湯」で、温泉街は歓楽的な要素がない「日本一清楚な温泉保養地」を目指す。夏の登山シーズンには登山家達の疲れを癒す。美しい瑠璃色のダムや長さ90ｍの「夢の吊橋」は幻想的。,アトピー性皮膚炎・呼吸器疾患・痔病・動脈硬化・不妊症/婦人病・不眠/ノイローゼ・便秘/美肌作用・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
54,せっそきょう,接岨峡温泉,川根本町,肌の新陳代謝をよくし「若返りの湯」として親しまれる秘湯。蛇行する川が長い年月をかけて造りだした奥大井の渓谷美を見ながら四季折々の景色と山里ののどかな雰囲気が楽しめる。,胃腸病・肝臓病・糖尿病/肥満・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷
55,せんず,千頭温泉,川根本町,,胃腸病・肝臓病・糖尿病/肥満・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷
56,かわね,川根温泉,川根町,豊かな山や自然にはぐくまれ南アルプスを流れ落ちた清水が大井川となり豊富で良質な温泉になる。大井川鉄道を走るSLの見える露天風呂で有名な「ふれあいの泉」の他、島田市には２００９年4月オープンの田代の湯伊太和里の湯などがある。,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
57,あさはた,麻機温泉,静岡市,,アトピー性皮膚炎・呼吸器疾患・痔病・動脈硬化・不妊症/婦人病・不眠/ノイローゼ・便秘/美肌作用・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
58,あべおおいがわ,安部大井川温泉,静岡市,,胃腸病・肝臓病・糖尿病/肥満・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷
59,いかわあかいし,井川赤石温泉,静岡市,,アトピー性皮膚炎・呼吸器疾患・痔病・動脈硬化・不妊症/婦人病・不眠/ノイローゼ・便秘/美肌作用・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
60,うめがしま,梅ヶ島温泉,静岡市,"安倍川の源流に1,700年間続く武田信玄の隠し湯の一つといわれている。川沿いに一番手前がコンヤ、金山、新田、梅ヶ島温泉と続く。",アトピー性皮膚炎・呼吸器疾患・痔病・動脈硬化・不妊症/婦人病・不眠/ノイローゼ・便秘/美肌作用・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・肝臓病・糖尿病/肥満
61,おおいがわ・さかのうえ,大井川・坂の上温泉,静岡市,,不眠/ノイローゼ・リウマチ/神経痛/骨折/打撲/腰痛
62,かごうえ,籠上温泉,静岡市,,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
63,くちさかもと,口坂本温泉,静岡市,,胃腸病・肝臓病・糖尿病/肥満・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷
64,こうち,河内温泉,静岡市,,アトピー性皮膚炎・呼吸器疾患・痔病。動脈硬化・不妊症/婦人病・不眠/ノイローゼ・便秘/美容作用・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
65,たしろ,田代温泉,静岡市,,胃腸病・肝臓病・糖尿病/肥満・不眠/ノイローゼ・便秘/美肌作用・火傷/外傷
66,にしざと,西里温泉,静岡市,,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
67,ひらやま/きたぬまがみ,平山/北沼上温泉,静岡市,,アトピー性皮膚炎・呼吸器疾患・痔病・動脈硬化・不妊症/婦人病・不眠/ノイローゼ・便秘/美肌作用・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・肝臓病・糖尿病/肥満
68,まがりかね,曲金温泉,静岡市,,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
69,みなみぬまがみ,南沼上温泉,静岡市,,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
70,ゆやま,油山温泉,静岡市,,アトピー性皮膚炎・呼吸器疾患・痔病・動脈硬化・不妊症/婦人病・不眠/ノイローゼ・便秘/美肌作用・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・肝臓病・糖尿病/肥満
71,わらびの,蕨野温泉,静岡市,,アトピー性皮膚炎・呼吸器疾患・痔病・動脈硬化・不妊症/婦人病・不眠/ノイローゼ・便秘/美肌作用・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛・胃腸病・肝臓病・糖尿病/肥満
72,しだ,志太温泉,藤枝市,,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
73,せとのや,瀬戸ノ谷温泉,藤枝市,,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
74,やいずくろしお,焼津黒潮温泉,焼津市,,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
75,さがら,相良温泉,牧之原市,,胃腸病・呼吸器疾患・痔病・糖尿病/肥満・不眠/ノイローゼ・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
76,いんの,印野温泉,御殿場市,,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高血圧症・痔病・ノイローゼ/不眠・不妊症/婦人病・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
77,こうやま,神山温泉,御殿場市,,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高血圧症・ノイローゼ/不眠・不妊症/婦人病・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
78,ごてんばおとめ,御殿場乙女温泉,御殿場市,,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高血圧症・痔病・ノイローゼ/不眠・不妊症/婦人病・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
79,あしがら,足柄温泉,小山町,,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高血圧症・痔病・ノイローゼ/不眠・不妊症/婦人病・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
80,すばしり,須走温泉,小山町,,アトピー性皮膚炎・胃腸病・肝臓病・眼病・高血圧症・痔病・ノイローゼ/不眠・不妊症/婦人病・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
81,するがおやま,駿河小山温泉,小山町,,アトピー性皮膚炎・肝臓病・眼病・痔病・糖尿病/肥満・動脈硬化・ノイローゼ/不眠・便秘/美肌作用・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
82,いなこがわ,稲子川温泉,芝川町,,胃腸病・肝臓病・呼吸器疾患・痔病・糖尿病/肥満・ノイローゼ/不眠・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
83,うりじま,瓜島温泉,芝川町,,ノイローゼ/不眠・リウマチ/神経痛/骨折/打撲/腰痛
84,すその,裾野温泉,裾野市,,胃腸病・肝臓病・呼吸器疾患・痔病・糖尿病/肥満・ノイローゼ/不眠・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
85,ながいずみ,長泉温泉,長泉町,,胃腸病・肝臓病・呼吸器疾患・痔病・糖尿病/肥満・ノイローゼ/不眠・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛・アトピー性皮膚炎・眼病・動脈硬化・便秘/美肌作用・・・・・・
86,うちうら,内浦温泉,沼津市,,胃腸病・肝臓病・呼吸器疾患・痔病・糖尿病/肥満・ノイローゼ/不眠・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
87,おかのみや,岡宮温泉,沼津市,,胃腸病・肝臓病・呼吸器疾患・痔病・糖尿病/肥満・ノイローゼ/不眠・水虫・火傷/外傷・リウマチ/神経痛/骨折/打撲/腰痛
